player_id,player_name,week,carpet_points,clay_points,grass_points,hard_points
103529,Aisam Ul Haq Qureshi,17,0,0,0,0
103529,Aisam Ul Haq Qureshi,18,0,0,0,0
103529,Aisam Ul Haq Qureshi,19,0,0,0,0
103529,Aisam Ul Haq Qureshi,20,0,0,0,0
103529,Aisam Ul Haq Qureshi,21,0,0,0,0
103529,Aisam Ul Haq Qureshi,22,0,0,0,0
103529,Aisam Ul Haq Qureshi,23,0,0,0,0
103529,Aisam Ul Haq Qureshi,24,0,0,45,0
103529,Aisam Ul Haq Qureshi,25,0,0,0,0
103529,Aisam Ul Haq Qureshi,26,0,0,45,0
103529,Aisam Ul Haq Qureshi,27,0,0,0,0
103529,Aisam Ul Haq Qureshi,28,0,0,90,0
103529,Aisam Ul Haq Qureshi,29,0,0,0,0
103529,Aisam Ul Haq Qureshi,30,0,0,0,0
103529,Aisam Ul Haq Qureshi,31,0,0,0,0
103529,Aisam Ul Haq Qureshi,32,0,0,0,0
103529,Aisam Ul Haq Qureshi,33,0,0,0,0
103529,Aisam Ul Haq Qureshi,34,0,0,0,0
103529,Aisam Ul Haq Qureshi,35,0,0,0,0
103529,Aisam Ul Haq Qureshi,36,0,0,0,0
103529,Aisam Ul Haq Qureshi,37,0,0,0,0
103529,Aisam Ul Haq Qureshi,38,0,0,0,0
103529,Aisam Ul Haq Qureshi,39,0,0,0,20
103529,Aisam Ul Haq Qureshi,40,0,0,0,0
103529,Aisam Ul Haq Qureshi,41,0,0,0,0
103529,Aisam Ul Haq Qureshi,42,0,0,0,0
103529,Aisam Ul Haq Qureshi,43,0,0,0,0
103529,Aisam Ul Haq Qureshi,44,0,0,0,0
103529,Aisam Ul Haq Qureshi,45,0,0,0,0
103529,Aisam Ul Haq Qureshi,46,0,0,0,0
103529,Aisam Ul Haq Qureshi,47,0,0,0,0
103529,Aisam Ul Haq Qureshi,48,0,0,0,0
103529,Aisam Ul Haq Qureshi,49,0,0,0,0
103529,Aisam Ul Haq Qureshi,50,0,0,0,0
103529,Aisam Ul Haq Qureshi,51,0,0,0,0
103529,Aisam Ul Haq Qureshi,52,0,0,0,0
103820,Alan Mackin,1,0,0,0,0
103820,Alan Mackin,2,0,0,0,0
103820,Alan Mackin,3,0,0,0,10
103820,Alan Mackin,4,0,0,0,0
103820,Alan Mackin,5,0,0,0,0
103820,Alan Mackin,6,0,0,0,0
103820,Alan Mackin,7,0,0,0,0
103820,Alan Mackin,8,0,0,0,0
103820,Alan Mackin,9,0,0,0,0
103820,Alan Mackin,10,0,0,0,0
103820,Alan Mackin,11,0,0,0,0
103820,Alan Mackin,12,0,0,0,0
103820,Alan Mackin,13,0,0,0,0
103820,Alan Mackin,14,0,0,0,0
103820,Alan Mackin,15,0,0,0,0
103820,Alan Mackin,16,0,0,0,0
103820,Alan Mackin,17,0,0,0,0
103820,Alan Mackin,18,0,0,0,0
103820,Alan Mackin,19,0,0,0,0
103820,Alan Mackin,20,0,0,0,0
103820,Alan Mackin,21,0,0,0,0
103820,Alan Mackin,22,0,0,0,0
103820,Alan Mackin,23,0,0,0,0
103820,Alan Mackin,24,0,0,0,0
103820,Alan Mackin,25,0,0,0,0
103820,Alan Mackin,26,0,0,0,0
103820,Alan Mackin,27,0,0,0,0
103820,Alan Mackin,28,0,0,0,0
103820,Alan Mackin,29,0,0,0,0
103820,Alan Mackin,30,0,0,0,0
103820,Alan Mackin,31,0,0,0,0
103820,Alan Mackin,32,0,0,0,0
103820,Alan Mackin,33,0,0,0,0
103820,Alan Mackin,34,0,0,0,0
103820,Alan Mackin,35,0,0,0,0
103820,Alan Mackin,36,0,0,0,0
103820,Alan Mackin,37,0,0,0,0
103820,Alan Mackin,38,0,0,0,0
103820,Alan Mackin,39,0,0,0,0
103820,Alan Mackin,40,0,0,0,0
103820,Alan Mackin,41,0,0,0,0
103820,Alan Mackin,42,0,0,0,0
103820,Alan Mackin,43,0,0,0,0
103820,Alan Mackin,44,0,0,0,0
103820,Alan Mackin,45,0,0,0,0
103820,Alan Mackin,46,0,0,0,0
103820,Alan Mackin,47,0,0,0,0
103820,Alan Mackin,48,0,0,0,0
103820,Alan Mackin,49,0,0,0,0
103820,Alan Mackin,50,0,0,0,0
103820,Alan Mackin,51,0,0,0,0
103820,Alan Mackin,52,0,0,0,0
103656,Albert Montanes,1,0,0,0,0
103656,Albert Montanes,2,0,0,0,0
103656,Albert Montanes,3,0,0,0,10
103656,Albert Montanes,4,0,0,0,0
103656,Albert Montanes,5,0,180,0,0
103656,Albert Montanes,6,0,0,0,0
103656,Albert Montanes,7,0,45,0,0
103656,Albert Montanes,8,0,90,0,0
