player_id,player_name,week,clay_points,grass_points,hard_points,carpet_points
108993,Abdulla Hajji,1,0,0,0,0
108993,Abdulla Hajji,2,0,0,5,0
108993,Abdulla Hajji,3,0,0,0,0
108993,Abdulla Hajji,4,0,0,0,0
108993,Abdulla Hajji,5,0,0,0,0
108993,Abdulla Hajji,6,0,0,0,0
108993,Abdulla Hajji,7,0,0,0,0
108993,Abdulla Hajji,8,0,0,0,0
108993,Abdulla Hajji,9,0,0,0,0
108993,Abdulla Hajji,10,0,0,0,0
108993,Abdulla Hajji,11,0,0,0,0
108993,Abdulla Hajji,12,0,0,0,0
108993,Abdulla Hajji,13,0,0,0,0
108993,Abdulla Hajji,14,0,0,0,0
108993,Abdulla Hajji,15,0,0,0,0
108993,Abdulla Hajji,16,0,0,0,0
108993,Abdulla Hajji,17,0,0,0,0
108993,Abdulla Hajji,18,0,0,0,0
108993,Abdulla Hajji,19,0,0,0,0
108993,Abdulla Hajji,20,0,0,0,0
108993,Abdulla Hajji,21,0,0,0,0
108993,Abdulla Hajji,22,0,0,0,0
108993,Abdulla Hajji,23,0,0,0,0
108993,Abdulla Hajji,24,0,0,0,0
108993,Abdulla Hajji,25,0,0,0,0
108993,Abdulla Hajji,26,0,0,0,0
108993,Abdulla Hajji,27,0,0,0,0
108993,Abdulla Hajji,28,0,0,0,0
108993,Abdulla Hajji,29,0,0,0,0
108993,Abdulla Hajji,30,0,0,0,0
108993,Abdulla Hajji,31,0,0,0,0
108993,Abdulla Hajji,32,0,0,0,0
108993,Abdulla Hajji,33,0,0,0,0
108993,Abdulla Hajji,34,0,0,0,0
108993,Abdulla Hajji,35,0,0,0,0
108993,Abdulla Hajji,36,0,0,0,0
108993,Abdulla Hajji,37,0,0,0,0
108993,Abdulla Hajji,38,0,0,0,0
108993,Abdulla Hajji,39,0,0,0,0
108993,Abdulla Hajji,40,0,0,0,0
108993,Abdulla Hajji,41,0,0,0,0
108993,Abdulla Hajji,42,0,0,0,0
108993,Abdulla Hajji,43,0,0,0,0
108993,Abdulla Hajji,44,0,0,0,0
108993,Abdulla Hajji,45,0,0,0,0
108993,Abdulla Hajji,46,0,0,0,0
108993,Abdulla Hajji,47,0,0,0,0
108993,Abdulla Hajji,48,0,0,0,0
108993,Abdulla Hajji,49,0,0,0,0
108993,Abdulla Hajji,50,0,0,0,0
108993,Abdulla Hajji,51,0,0,0,0
108993,Abdulla Hajji,52,0,0,0,0
105173,Adrian Mannarino,1,0,0,0,0
105173,Adrian Mannarino,2,0,0,0,0
105173,Adrian Mannarino,3,0,0,0,0
105173,Adrian Mannarino,4,0,0,5,0
105173,Adrian Mannarino,5,0,0,0,0
105173,Adrian Mannarino,6,0,0,0,0
105173,Adrian Mannarino,7,0,0,0,0
105173,Adrian Mannarino,8,0,0,0,0
105173,Adrian Mannarino,9,0,0,0,0
105173,Adrian Mannarino,10,0,0,0,0
105173,Adrian Mannarino,11,0,0,0,0
105173,Adrian Mannarino,12,0,0,0,0
105173,Adrian Mannarino,13,0,0,0,0
105173,Adrian Mannarino,14,0,0,0,0
105173,Adrian Mannarino,15,0,0,0,0
105173,Adrian Mannarino,16,0,0,0,0
105173,Adrian Mannarino,17,0,0,0,0
105173,Adrian Mannarino,18,0,0,0,0
105173,Adrian Mannarino,19,0,0,0,0
105173,Adrian Mannarino,20,0,0,0,0
105173,Adrian Mannarino,21,0,0,0,0
105173,Adrian Mannarino,22,5,0,0,0
105173,Adrian Mannarino,23,0,0,0,0
105173,Adrian Mannarino,24,0,0,0,0
105173,Adrian Mannarino,25,0,0,0,0
105173,Adrian Mannarino,26,0,5,0,0
105173,Adrian Mannarino,27,0,0,0,0
105173,Adrian Mannarino,28,0,0,0,0
105173,Adrian Mannarino,29,0,0,0,0
105173,Adrian Mannarino,30,0,0,0,0
105173,Adrian Mannarino,31,0,0,0,0
105173,Adrian Mannarino,32,0,0,0,0
105173,Adrian Mannarino,33,0,0,0,0
105173,Adrian Mannarino,34,0,0,0,0
105173,Adrian Mannarino,35,0,0,0,0
105173,Adrian Mannarino,36,0,0,0,0
105173,Adrian Mannarino,37,0,0,0,0
105173,Adrian Mannarino,38,0,0,0,0
105173,Adrian Mannarino,39,0,0,5,0
105173,Adrian Mannarino,40,0,0,0,0
105173,Adrian Mannarino,41,0,0,0,0
105173,Adrian Mannarino,42,0,0,0,0
105173,Adrian Mannarino,43,0,0,0,0
105173,Adrian Mannarino,44,0,0,0,0
105173,Adrian Mannarino,45,0,0,0,0
105173,Adrian Mannarino,46,0,0,0,0
105173,Adrian Mannarino,47,0,0,0,0
105173,Adrian Mannarino,48,0,0,0,0
105173,Adrian Mannarino,49,0,0,0,0
105173,Adrian Mannarino,50,0,0,0,0
105173,Adrian Mannarino,51,0,0,0,0
105173,Adrian Mannarino,52,0,0,0,0
102860,Agustin Calleri,1,0,0,5,0
102860,Agustin Calleri,2,0,0,0,0
102860,Agustin Calleri,3,0,0,5,0
102860,Agustin Calleri,4,0,0,5,0
102860,Agustin Calleri,5,0,0,0,0
102860,Agustin Calleri,6,25,0,0,0
102860,Agustin Calleri,7,0,0,0,0
102860,Agustin Calleri,8,5,0,0,0
102860,Agustin Calleri,9,0,0,0,0
102860,Agustin Calleri,10,0,0,0,0
102860,Agustin Calleri,11,0,0,0,0
102860,Agustin Calleri,12,0,0,0,0
102860,Agustin Calleri,13,0,0,5,0
102860,Agustin Calleri,14,0,0,0,0
102860,Agustin Calleri,15,5,0,0,0
102860,Agustin Calleri,16,0,0,0,0
102860,Agustin Calleri,17,0,0,0,0
102860,Agustin Calleri,18,0,0,0,0
102860,Agustin Calleri,19,0,0,0,0
102860,Agustin Calleri,20,25,0,0,0
102860,Agustin Calleri,21,0,0,0,0
102860,Agustin Calleri,22,5,0,0,0
102860,Agustin Calleri,23,0,0,0,0
102860,Agustin Calleri,24,0,0,0,0
102860,Agustin Calleri,25,0,0,0,0
102860,Agustin Calleri,26,0,5,0,0
102860,Agustin Calleri,27,0,0,0,0
102860,Agustin Calleri,28,0,0,0,0
102860,Agustin Calleri,29,0,0,0,0
102860,Agustin Calleri,30,0,0,0,0
102860,Agustin Calleri,31,0,0,0,0
102860,Agustin Calleri,32,0,0,0,0
102860,Agustin Calleri,33,0,0,0,0
102860,Agustin Calleri,34,0,0,0,0
102860,Agustin Calleri,35,0,0,0,0
102860,Agustin Calleri,36,0,0,0,0
102860,Agustin Calleri,37,0,0,0,0
102860,Agustin Calleri,38,0,0,0,0
102860,Agustin Calleri,39,0,0,0,0
102860,Agustin Calleri,40,0,0,0,0
102860,Agustin Calleri,41,0,0,0,0
102860,Agustin Calleri,42,0,0,0,0
102860,Agustin Calleri,43,0,0,0,0
102860,Agustin Calleri,44,0,0,0,0
102860,Agustin Calleri,45,0,0,0,0
102860,Agustin Calleri,46,0,0,0,0
102860,Agustin Calleri,47,0,0,0,0
102860,Agustin Calleri,48,0,0,0,0
102860,Agustin Calleri,49,0,0,0,0
102860,Agustin Calleri,50,0,0,0,0
102860,Agustin Calleri,51,0,0,0,0
102860,Agustin Calleri,52,0,0,0,0
103656,Albert Montanes,1,0,0,0,0
103656,Albert Montanes,2,0,0,5,0
103656,Albert Montanes,3,0,0,5,0
103656,Albert Montanes,4,0,0,5,0
103656,Albert Montanes,5,0,0,0,0
103656,Albert Montanes,6,25,0,0,0
103656,Albert Montanes,7,5,0,0,0
103656,Albert Montanes,8,5,0,0,0
103656,Albert Montanes,9,25,0,0,0
103656,Albert Montanes,10,0,0,0,0
103656,Albert Montanes,11,0,0,5,0
103656,Albert Montanes,12,0,0,0,0
103656,Albert Montanes,13,0,0,5,0
103656,Albert Montanes,14,0,0,0,0
103656,Albert Montanes,15,185,0,0,0
103656,Albert Montanes,16,0,0,0,0
103656,Albert Montanes,17,0,0,0,0
103656,Albert Montanes,18,535,0,0,0
103656,Albert Montanes,19,5,0,0,0
103656,Albert Montanes,20,0,0,0,0
103656,Albert Montanes,21,0,0,0,0
103656,Albert Montanes,22,5,0,0,0
103656,Albert Montanes,23,0,0,0,0
103656,Albert Montanes,24,0,0,0,0
