player_id,player_name,week,clay_points,grass_points,hard_points,carpet_points
106361,Adam Pavlasek,1,0,0,0,0
106361,Adam Pavlasek,2,0,0,0,0
106361,Adam Pavlasek,3,0,0,0,0
106361,Adam Pavlasek,4,0,0,0,0
106361,Adam Pavlasek,5,0,0,0,0
106361,Adam Pavlasek,6,0,0,0,0
106361,Adam Pavlasek,7,0,0,0,0
106361,Adam Pavlasek,8,0,0,0,0
106361,Adam Pavlasek,9,0,0,0,0
106361,Adam Pavlasek,10,0,0,0,0
106361,Adam Pavlasek,11,0,0,0,0
106361,Adam Pavlasek,12,0,0,0,0
106361,Adam Pavlasek,13,0,0,0,0
106361,Adam Pavlasek,14,0,0,0,0
106361,Adam Pavlasek,15,0,0,0,0
106361,Adam Pavlasek,16,0,0,0,0
106361,Adam Pavlasek,17,0,0,0,0
106361,Adam Pavlasek,18,0,0,0,0
106361,Adam Pavlasek,19,0,0,0,0
106361,Adam Pavlasek,20,0,0,0,0
106361,Adam Pavlasek,21,35,0,0,0
106361,Adam Pavlasek,22,0,0,0,0
106361,Adam Pavlasek,23,0,0,0,0
106361,Adam Pavlasek,24,0,0,0,0
106361,Adam Pavlasek,25,0,0,0,0
106361,Adam Pavlasek,26,0,0,0,0
106361,Adam Pavlasek,27,0,0,0,0
106361,Adam Pavlasek,28,0,0,0,0
106361,Adam Pavlasek,29,60,0,0,0
106361,Adam Pavlasek,30,0,0,0,0
106361,Adam Pavlasek,31,0,0,0,0
106361,Adam Pavlasek,32,0,0,0,0
106361,Adam Pavlasek,33,0,0,0,0
106361,Adam Pavlasek,34,0,0,0,0
106361,Adam Pavlasek,35,0,0,0,0
106361,Adam Pavlasek,36,0,0,0,0
106361,Adam Pavlasek,37,0,0,0,0
106361,Adam Pavlasek,38,0,0,0,0
106361,Adam Pavlasek,39,0,0,0,0
106361,Adam Pavlasek,40,0,0,0,0
106361,Adam Pavlasek,41,0,0,0,0
106361,Adam Pavlasek,42,0,0,5,0
106361,Adam Pavlasek,43,0,0,0,0
106361,Adam Pavlasek,44,0,0,0,0
106361,Adam Pavlasek,45,0,0,0,0
106361,Adam Pavlasek,46,0,0,0,0
106361,Adam Pavlasek,47,0,0,0,0
106361,Adam Pavlasek,48,0,0,0,0
106361,Adam Pavlasek,49,0,0,0,0
106361,Adam Pavlasek,50,0,0,0,0
106361,Adam Pavlasek,51,0,0,0,0
106361,Adam Pavlasek,52,0,0,0,0
105173,Adrian Mannarino,1,0,0,0,0
105173,Adrian Mannarino,2,0,0,5,0
105173,Adrian Mannarino,3,0,0,5,0
105173,Adrian Mannarino,4,0,0,0,0
105173,Adrian Mannarino,5,0,0,60,0
105173,Adrian Mannarino,6,0,0,0,0
105173,Adrian Mannarino,7,0,0,60,0
105173,Adrian Mannarino,8,0,0,25,0
105173,Adrian Mannarino,9,0,0,0,0
105173,Adrian Mannarino,10,0,0,35,0
105173,Adrian Mannarino,11,0,0,0,0
105173,Adrian Mannarino,12,0,0,35,0
105173,Adrian Mannarino,13,0,0,0,0
105173,Adrian Mannarino,14,0,0,0,0
105173,Adrian Mannarino,15,5,0,0,0
105173,Adrian Mannarino,16,5,0,0,0
105173,Adrian Mannarino,17,5,0,0,0
105173,Adrian Mannarino,18,0,0,0,0
105173,Adrian Mannarino,19,0,0,0,0
105173,Adrian Mannarino,20,110,0,0,0
105173,Adrian Mannarino,21,35,0,0,0
105173,Adrian Mannarino,22,0,0,0,0
105173,Adrian Mannarino,23,0,60,0,0
105173,Adrian Mannarino,24,0,25,0,0
105173,Adrian Mannarino,25,0,25,0,0
105173,Adrian Mannarino,26,0,35,0,0
105173,Adrian Mannarino,27,0,0,0,0
105173,Adrian Mannarino,28,0,60,0,0
105173,Adrian Mannarino,29,0,0,5,0
105173,Adrian Mannarino,30,0,0,0,0
105173,Adrian Mannarino,31,0,0,25,0
105173,Adrian Mannarino,32,0,0,5,0
105173,Adrian Mannarino,33,0,0,5,0
105173,Adrian Mannarino,34,0,0,0,0
105173,Adrian Mannarino,35,0,0,5,0
105173,Adrian Mannarino,36,0,0,0,0
105173,Adrian Mannarino,37,0,0,0,0
105173,Adrian Mannarino,38,0,0,5,0
105173,Adrian Mannarino,39,0,0,25,0
105173,Adrian Mannarino,40,0,0,25,0
105173,Adrian Mannarino,41,0,0,0,0
105173,Adrian Mannarino,42,0,0,25,0
105173,Adrian Mannarino,43,0,0,5,0
105173,Adrian Mannarino,44,0,0,5,0
105173,Adrian Mannarino,45,0,0,0,0
105173,Adrian Mannarino,46,0,0,0,0
105173,Adrian Mannarino,47,0,0,0,0
105173,Adrian Mannarino,48,0,0,0,0
105173,Adrian Mannarino,49,0,0,0,0
105173,Adrian Mannarino,50,0,0,0,0
105173,Adrian Mannarino,51,0,0,0,0
105173,Adrian Mannarino,52,0,0,0,0
104494,Adrian Ungur,1,0,0,0,0
104494,Adrian Ungur,2,0,0,0,0
104494,Adrian Ungur,3,0,0,0,0
104494,Adrian Ungur,4,0,0,0,0
104494,Adrian Ungur,5,0,0,0,0
104494,Adrian Ungur,6,0,0,0,0
104494,Adrian Ungur,7,0,0,0,0
104494,Adrian Ungur,8,0,0,0,0
104494,Adrian Ungur,9,0,0,0,0
104494,Adrian Ungur,10,0,0,0,0
104494,Adrian Ungur,11,0,0,0,0
